2.5070196827138455e-21	3.4812855231952757e-16
2.615761009719916e-21	3.6028594774837456e-16
2.729218963516185e-21	3.7283663893977856e-16
2.847598126563529e-21	3.858245379944537e-16
2.9653831847598295e-21	3.972671836334008e-16
3.070211921564812e-21	4.025557468432221e-16
3.166500014109044e-21	4.0674631963214837e-16
3.265807897144175e-21	4.1093313081498273e-16
3.3682302774441025e-21	4.156420159497224e-16
3.507550217131674e-21	4.231309463253413e-16
3.659689295967484e-21	4.342507459972745e-16
3.818427367797319e-21	4.455880335768447e-16
3.984050662226783e-21	4.566848449331344e-16
4.148842749540617e-21	4.658997051820901e-16
4.312120615660632e-21	4.749452870386058e-16
4.46455762933684e-21	4.823456848014047e-16
4.595696896306806e-21	4.867317132005478e-16
4.730688170299455e-21	4.909392326958235e-16
4.9073840985494775e-21	4.974942066960704e-16
5.12024060808717e-21	5.134880022875351e-16
5.342329713391303e-21	5.315983889048265e-16
5.5740518759031164e-21	5.513175398422649e-16
5.815824926974769e-21	5.720079406687359e-16
6.068084821284665e-21	5.919340439964676e-16
6.331286422932085e-21	6.116816563208379e-16
6.605904325628359e-21	6.274407582513535e-16
6.87914401425404e-21	6.404661946415602e-16
7.136086914188883e-21	6.506877634875322e-16
7.416927889404136e-21	6.631418500211633e-16
7.738635208482334e-21	6.830275723553365e-16
8.07429649889364e-21	7.049269097374201e-16
8.424517010517117e-21	7.327941164905817e-16
8.789928245787984e-21	7.749065379549674e-16
9.06559827965202e-21	7.846394624978431e-16
9.24226535255072e-21	7.835712243277436e-16
9.477089564771308e-21	7.874658874370476e-16
9.83106832588882e-21	8.020051833434925e-16
1.0257488358813038e-20	8.391108157652435e-16
1.0702404249812034e-20	8.803660542993444e-16
1.1038053422305136e-20	8.901835310563664e-16
1.1318504383240404e-20	8.896294363524426e-16
1.1741261827063216e-20	9.105298416005387e-16
1.2156325098532924e-20	9.219774269110805e-16
1.2586061198346009e-20	9.34553634554517e-16
1.2955756692641887e-20	9.700650575895228e-16
1.333631140304587e-20	1.0234580659179724e-15
1.3609331370058046e-20	1.0401318762921503e-15
1.3861162451700935e-20	1.0399338539446394e-15
1.402260921416069e-20	1.0309117906545858e-15
1.4406669033580233e-20	1.0338450570508598e-15
1.503155455771499e-20	1.0830384716166113e-15
1.559299813421012e-20	1.1101571603707177e-15
1.5989179520845246e-20	1.112335396635838e-15
1.6490632722363893e-20	1.124758562982791e-15
1.7172733934883462e-20	1.176518928385806e-15
1.788304886557584e-20	1.2545856667695674e-15
1.8355119366093447e-20	1.2625230249969306e-15
1.844389766303079e-20	1.248314884259541e-15
1.8851775609472735e-20	1.2486751458007943e-15
1.9543331217268638e-20	1.3128283286473978e-15
1.984742469097186e-20	1.3673740125902883e-15
2.0001241233900874e-20	1.4097924087972446e-15
2.0273294158435047e-20	1.4683868719200188e-15
2.0708301577352407e-20	1.5257097086206421e-15
2.1111857405828233e-20	1.5940798029313938e-15
2.156485801475195e-20	1.6602355330493633e-15
2.2070133414448466e-20	1.7369043242004138e-15
2.2806271774700875e-20	1.8310961703863742e-15
2.379548788414821e-20	1.9392511017755822e-15
2.4684273123946748e-20	1.983604335082426e-15
2.5213927646570625e-20	1.9751878141067697e-15
2.544859700437941e-20	1.94112790776528e-15
2.59045021574127e-20	1.942290745636519e-15
2.630757520355955e-20	1.9305109933936667e-15
2.6665405634573015e-20	1.9092234469088948e-15
2.702810320428578e-20	1.893403017674524e-15
2.7316537406972684e-20	1.8633835858270363e-15
2.7581420506366047e-20	1.8479124049083455e-15
2.79835689031883e-20	1.84284932254975e-15
2.830950524635077e-20	1.8229336610752087e-15
2.852890248789844e-20	1.7931130690915433e-15
2.8750000047031255e-20	1.762154076532657e-15
2.9423626915109925e-20	1.763733652554121e-15
3.06998690835069e-20	1.820740750176962e-15
3.154069592224591e-20	1.8452132752222896e-15
3.2418452906663864e-20	1.8573216644386474e-15
3.2908765408468403e-20	1.8496965179679254e-15
3.367983422718763e-20	1.8437474420294225e-15
3.4870444093724483e-20	1.8553019964424144e-15
3.5756420015399476e-20	1.8759143765047306e-15
3.610314299920168e-20	1.8320041215897384e-15
3.6949057681169126e-20	1.8318404562743394e-15
3.7961041129044274e-20	1.875867049663471e-15
3.84031892685846e-20	1.8510357330730713e-15
3.890050756602932e-20	1.8339528812846407e-15
3.948885782571261e-20	1.8166409349357726e-15
4.100775238281871e-20	1.8712503642616713e-15
4.221228977130062e-20	1.9335383928522226e-15
4.324769153833098e-20	1.9279344010508343e-15
4.322059049712487e-20	1.876356530587973e-15
4.270395398368803e-20	1.821524301070351e-15
4.395831459163293e-20	2.0443957174994342e-15
4.4162403742793344e-20	2.1674652369096297e-15
4.4043236866509436e-20	2.097581423586052e-15
4.429898931839205e-20	2.2484094652209464e-15
4.50751919156189e-20	2.3289720119933096e-15
4.5953600815994864e-20	2.4374189940450463e-15
4.65786525989651e-20	2.530346535122823e-15
4.7854377297040377e-20	2.6615604699161426e-15
4.9117620495243476e-20	2.6604910778597977e-15
4.9260023383631454e-20	2.6109875504613526e-15
4.9355187934071336e-20	2.5587531650857707e-15
4.9546068930155375e-20	2.4830326050127523e-15
5.036558364053049e-20	2.459801530965122e-15
5.109993445873357e-20	2.4371422883878756e-15
5.1562257783271125e-20	2.401172629622785e-15
5.1761674613355136e-20	2.349720871291013e-15
5.1961862687248676e-20	2.3064525607377196e-15
5.2162824987734047e-20	2.26050305086412e-15
5.2364564509129784e-20	2.215468954337227e-15
5.2702532371798367e-20	2.175086887341114e-15
5.425058528913178e-20	2.1966977833683682e-15
5.5457446083698e-20	2.225186425577928e-15
5.509472228643295e-20	2.294039896470588e-15
5.610338217713154e-20	2.271965147145151e-15
5.741052509149046e-20	2.263879263892599e-15
5.819717148809104e-20	2.2485150091394153e-15
5.986216760956197e-20	2.283383827630682e-15
6.009368430840062e-20	2.2317095213099325e-15
6.091106670837006e-20	2.2099018382700974e-15
6.197834451552469e-20	2.1739245284468236e-15
6.315567563404171e-20	2.1776542484895675e-15
6.396324834679274e-20	2.1758458416853512e-15
6.491673707033053e-20	2.2531367938075815e-15
6.604261324230445e-20	2.3575204950220747e-15
6.721159716785805e-20	2.4895336076301725e-15
6.695265802510011e-20	2.4334875361947003e-15
6.752364638861551e-20	2.667670584678766e-15
6.734144203981462e-20	2.582135384992844e-15
6.721159716785805e-20	2.5487868082191003e-15
6.773248366482507e-20	2.8566460157905336e-15
6.760188480322718e-20	2.7752392699735635e-15
6.74715377567367e-20	2.72427711749227e-15
6.825740700594024e-20	2.95547000197392e-15
6.878639847654273e-20	3.078940153602868e-15
6.942660258051016e-20	3.207934949813224e-15
7.046606576421953e-20	3.3459361279852997e-15
7.121805429044207e-20	3.4517653544982625e-15
7.27461918360768e-20	3.398890989179524e-15
7.302753744816403e-20	3.2975479035588885e-15
7.345159737395753e-20	3.235360330113318e-15
7.402084355861821e-20	3.174127810339919e-15
7.430711888125128e-20	3.0987204270457486e-15
7.459450137257388e-20	3.0246394467426335e-15
7.473860914396336e-20	2.961169115412524e-15
7.502766042218732e-20	2.886158190116836e-15
7.531782960509821e-20	2.8273553668905106e-15
7.531782960509821e-20	2.7705564954485365e-15
7.531782960509821e-20	2.7148986591360248e-15
7.526939025906824e-20	2.644787124001411e-15
7.590153899566913e-20	2.6210669363356003e-15
7.593817067176007e-20	2.5537017033596945e-15
7.783001847782005e-20	2.567701542806354e-15
8.002342957895122e-20	2.6517799918663126e-15
8.12755624352412e-20	2.7844397772013073e-15
8.423899584848011e-20	2.9397313823487934e-15
8.629599387144932e-20	2.903360569624498e-15
8.754296008071826e-20	2.8874322765001086e-15
8.840322089850269e-20	2.8509120533673558e-15
8.977877157769421e-20	3.081748785995115e-15
9.047455254109407e-20	3.21840144679038e-15
9.14577142492557e-20	3.337677135194943e-15
9.188233306009071e-20	3.4715136321681637e-15
9.223768762343395e-20	3.565142918296957e-15
9.295252506249235e-20	3.8774544123258506e-15
9.277329800187129e-20	3.787572651789036e-15
9.283300192492401e-20	3.694510187571989e-15
9.259441651915935e-20	3.629911200718341e-15
9.352838172468343e-20	4.5005939765426705e-15
9.313209836863829e-20	4.294550254417735e-15
9.313209836863829e-20	4.208276837691192e-15
9.313209836863829e-20	4.1237365715841006e-15
9.313209836863829e-20	4.04089463875429e-15
9.313209836863829e-20	3.9597169213067695e-15
9.606717181747817e-20	4.737456990297607e-15
9.81897075337027e-20	4.673133899473782e-15
9.830347815273012e-20	4.5371986450910305e-15
9.830347815273012e-20	4.4460506537323696e-15
9.830347815273012e-20	4.356733738546154e-15
9.830347815273012e-20	4.271180604420158e-15
9.830347815273012e-20	4.183446737365745e-15
9.830347815273012e-20	4.099405284281166e-15
9.839838769427986e-20	3.998368850042964e-15
9.877894307340713e-20	3.914557950062702e-15
9.92567076776258e-20	3.854175140523886e-15
9.944845992042766e-20	3.774748014515352e-15
9.938450138116161e-20	3.679528207220946e-15
1.00606777770154e-19	3.633716585127066e-15
1.0177858703284006e-19	3.558706426301271e-15
1.0436454140757735e-19	3.583278783088966e-15
1.077598966819375e-19	3.6450740262124516e-15
1.1007461790770668e-19	3.584891994759156e-15
1.1313307038895535e-19	3.618816792891787e-15
1.1274072428729828e-19	3.4884775863237124e-15
1.1280291047668398e-19	3.404768642380766e-15
1.1295852605851348e-19	3.3492378397155265e-15
1.1502654146578437e-19	3.951319280020759e-15
