2.232795400135571e-24, 2.991851017336036e-19
2.4109170156641897e-24, 3.823488535792228e-19
2.603248311916117e-24, 3.8721631340202025e-19
2.810922868570237e-24, 3.8733677731737615e-19
3.035164696736533e-24, 3.4456894672499174e-19
3.2772954530900143e-24, 3.3408158516053984e-19
3.5387422298342604e-24, 3.63713272606215e-19
3.821045965718134e-24, 3.613282348731171e-19
4.1258705278577134e-24, 3.578022782992559e-19
4.4550125189336005e-24, 3.161805579566241e-19
4.8104118658639e-24, 3.8656357178130913e-19
5.194163253290642e-24, 3.8615516490919172e-19
5.608528469973395e-24, 3.6954996456484585e-19
6.055949739099483e-24, 3.8493305436300353e-19
6.539064112577311e-24, 4.886876945926642e-19
7.060719013618401e-24, 4.3108519068806167e-19
7.623989019089074e-24, 4.5343913280033e-19
8.232193980660351e-24, 4.731512021580603e-19
8.888918591787117e-24, 5.4608440398762635e-19
9.598033515364069e-24, 5.760504569851356e-19
1.036371819707961e-23, 6.685048386767869e-19
1.0769170729263061e-23, 6.912403236891303e-19
1.1190485498566768e-23, 7.396017679630175e-19
1.1628283072307496e-23, 5.572273158072873e-19
1.2083208295761139e-23, 6.059976431791394e-19
1.3047148198980244e-23, 5.813527383146722e-19
1.4087986564472695e-23, 5.208379456347304e-19
1.5211857979530646e-23, 5.651375938602703e-19
1.642538641913994e-23, 5.600928305112671e-19
1.7735724287030664e-23, 6.108442657327249e-19
1.915059457102994e-23, 6.334133871370306e-19
2.0678336361601402e-23, 8.328616254142915e-19
2.2327954001562495e-23, 7.731590196734498e-19
2.4109170156435114e-23, 1.006367408564711e-18
2.6032483119161173e-23, 1.0290551081788232e-18
2.810922868570237e-23, 1.044940161072714e-18
3.0351646967365335e-23, 1.1336105123524289e-18
3.2772954530900145e-23, 1.4227909472707604e-18
3.5387422298342606e-23, 1.3882774124529509e-18
3.821045965718133e-23, 1.5913489094695359e-18
4.125870527857714e-23, 1.65106288948084e-18
4.455012518933601e-23, 1.8282601034454448e-18
4.8104118658225436e-23, 2.088199561817158e-18
5.1941632532906424e-23, 2.240357333565877e-18
5.608528469973395e-23, 3.595443739919425e-18
6.055949739099483e-23, 4.31513446894565e-18
6.53906411257731e-23, 1.2003965720044808e-17
7.060719013577043e-23, 3.412038193489833e-18
7.623989019151108e-23, 3.8871959093537144e-18
8.232193980660349e-23, 4.0109066868001144e-18
8.888918591725082e-23, 4.847481119073788e-18
9.598033515446781e-23, 5.476613690183286e-18
1.036371819707961e-22, 6.412584676186168e-18
1.1190485498484052e-22, 5.39906934114697e-18
1.208320829584385e-22, 1.1657041801607075e-17
1.3047148198980244e-22, 2.1008947518150534e-17
1.4087986564369303e-22, 8.323800626299413e-18
1.5211857979634037e-22, 1.2409460982038359e-17
1.642538641913994e-22, 1.2297747524263535e-17
1.7735724286885916e-22, 1.7000911598619175e-17
1.9150594571174689e-22, 1.5351189822128137e-17
2.06783363616014e-22, 1.662049437798572e-17
